pool,id,name,trigger_name,trigger_condition,trigger_rate,effect_type,effect_value,vampire,route_mult_ling,route_mult_ti,learn_coefficient,ultimate_json,description,ref_source,design_note,status
灵修专属,spirit_001,万剑归宗,,,,,,,1.2,0.8,1.0,"{""name"": ""万剑归宗"", ""trigger_condition"": ""once_per_battle"", ""effect_type"": ""massive_damage"", ""effect_value"": 2.0, ""min_action_index"": 3, ""trigger_opponent_hp_below"": 0.4}",万剑齐发剑气纵横,现有配置（降档重做）,现有 config 3.0（当次×4.0）超 G2 预算（+43%），按 bd dhh 降档至 2.0（当次×3.0）；斩杀型大招（敌方HP≤40% 且已行动≥3）；必放制不填 trigger_rate；同步时按 name 覆盖 config,draft
体修专属,draft_tieshan,铁山靠,铁山震反,defend,0.20,counter,1.0,,0.8,1.2,1.0,null,如山岳横移受击必反,MB:Pugnacious +30% Reversal/乱斗堂:17%×144%,全额反击：期望≈0.20×1.0=20% ≤30% ✓（偏高，吃受击窗口上限）；体修专属,draft
体修专属,draft_baxia,八式崩拳,崩山连打,attack,0.20,damage_bonus,0.3,,0.8,1.2,1.0,null,拳拳崩山朴实刚猛,MB:Martial Arts 空手+50-100%,引擎无空手判定按普攻增伤适配；低期望高频：0.20×0.3=6% ✓；体修专属,draft
体修专属,draft_hunyan,混元护体诀,混元罡气,defend,0.15,damage_reduction,0.5,,0.8,1.2,1.0,null,罡气护体卸力化劲,QPet:霸气护体 2次格挡50%（近似单次）/MB:Armour 10-50%,一次性减伤 50% 受总减伤 cap 40% 钳制；期望 0.15×0.5=7.5% ✓；体修专属,draft
体修专属,draft_jinshen,金身诀,,,,,,,0.8,1.2,1.0,"{""name"": ""金身怒击"", ""trigger_condition"": ""once_per_battle"", ""effect_type"": ""massive_damage"", ""effect_value"": 1.8, ""min_action_index"": 3, ""trigger_self_hp_below"": 0.35}",残血金身怒而反杀,乱斗堂:爆裂一击 250%（残血门槛替代疲劳副作用）,逆袭型大招（自身HP≤35% 且已行动≥3）：期望 1.8÷7≈25.7% ≤30% ✓；原型疲劳副作用 needs_code（bd tt3），以低血门槛替代,draft
传承功法池,draft_zhenlong,真龙诀,,,,,,,1.0,1.0,0.5,"{""name"": ""真龙一击"", ""trigger_condition"": ""once_per_battle"", ""effect_type"": ""massive_damage"", ""effect_value"": 2.0, ""min_action_index"": 5, ""trigger_opponent_hp_below"": 0.3}",龙威降世屠灭残敌,QPet:如来神掌（打半血）/神来一击（斩杀非秒杀）,斩杀型大招：神来一击秒杀已排除（§2.3），以低血门槛+高倍率替代；期望 2.0÷7≈28.6% ✓；learn 0.5 稀有,draft
传承功法池,draft_jiujian,九剑归一,,,,,,,1.0,1.0,0.5,"{""name"": ""九剑归一"", ""trigger_condition"": ""once_per_battle"", ""effect_type"": ""massive_damage"", ""effect_value"": 2.0, ""min_action_index"": 4}",九九归一 一剑定乾坤,MB:Hammer 空手400%/Deluge,延迟型大招（纯行动数≥4）：期望 2.0÷7≈28.6% ✓；MB Hammer 空手限定在引擎无空手概念按全武器适配；learn 0.5,draft
传承功法池,draft_xiuluo,修罗战诀,修罗血刃,attack,0.10,damage_bonus,0.5,,1.0,1.0,0.5,"{""name"": ""修罗血爆"", ""trigger_condition"": ""once_per_battle"", ""effect_type"": ""massive_damage"", ""effect_value"": 1.5, ""min_action_index"": 3}",血战不休愈战愈狂,MB:Fierce Brute+Hammer 组合/QPet:会心一击 +50%,唯一触发技+大招复合件：触发 0.1×0.5=5% + 大招 1.5÷7≈21.4% = 合计 26.4% ≤30% ✓；低触发率保大招位；learn 0.5,draft
传承功法池,draft_tianmo,天魔解体,,,,,,,0.8,1.2,0.3,"{""name"": ""天魔解体"", ""trigger_condition"": ""once_per_battle"", ""effect_type"": ""massive_damage"", ""effect_value"": 1.8, ""min_action_index"": 5}",燃烧精血天魔降世,乱斗堂:爆裂一击 250%+疲劳,极限倍率按 G2 预算降档至 1.8（÷7≈25.7%，与金身诀同档）；原型疲劳副作用 needs_code（bd tt3）后续评估；learn 0.3 极稀有,draft
传承功法池,draft_zhonghun,镇魂印,镇魂镇压,attack,0.08,stun,0,,1.0,1.0,0.5,null,古印镇魂令敌僵滞,QPet:折凳（忽略2回合）/胶水（3回合）,传承级控制：原型多回合控制在引擎恒 1 回合（无冷却系统，§2.1）；低率换取控制流强度：2×0.08÷7≈2.3% ✓；learn 0.5,draft
通用功法池,verify_heal_001,回春诀,回春吐纳,attack,0.15,heal,0.25,,1.0,1.0,1.0,null,引灵入体回复气血,QPet:矿泉水 回复25%,验证 heal 引擎（trigger-effect-extensions）；期望 0.15×0.25×7≈26.3% ≤30% ✓,draft
灵修专属,verify_vampire_001,噬血剑意,噬血,attack,0.15,heal,0.20,1,1.0,0.8,1.0,null,以战养战吸取敌血,想不想修真:吸血+10%,验证 heal vampire 模式（trigger-effect-extensions）；期望 0.15×0.2×7=21% ✓,draft
通用功法池,verify_dot_001,蚀骨咒,蚀骨,attack,0.25,dot,0.15,,1.0,1.0,1.0,null,阴毒入体持续侵蚀,QPet:企鹅挠痒 6回合,验证 dot 引擎（trigger-effect-extensions）；duration=3，期望 0.25×0.15×3=11.25% ✓,draft
通用功法池,verify_survive_001,涅槃诀,,,,,,,1.0,1.0,1.0,"{""name"": ""涅槃重生"", ""trigger_condition"": ""once_per_battle"", ""effect_type"": ""survive"", ""effect_value"": 0, ""survive_count"": 1, ""min_action_index"": 5}",绝境涅槃留下一线生机,QPet:装死/MB:Survival,验证 survive 大招分发（trigger-effect-extensions）；纯大招行 PASS,draft
灵修专属,verify_unavoidable_001,破风剑意,破风,attack,0.20,unavoidable,0,,1.0,0.8,1.0,null,剑意锁定必中一击,QPet:判官笔 必中,验证 unavoidable 引擎（trigger-effect-extensions）；utility 效果 WARN 不参与数值,draft
